model,case_id,function_name,passed,failure_reason,total_seconds,total_tokens,calls,converged_iter
gpt-5.4-mini,0,foo0,True,pass,91.95,8019,3,2
gpt-5.4-mini,1,foo1,True,pass,56.98,7564,3,2
gpt-5.4-mini,2,foo2,True,pass,319.2,31180,14,
gpt-5.4-mini,3,foo3,True,pass,257.39,28497,12,
gpt-5.4-mini,4,foo4,True,pass,196.87,25900,12,
gpt-5.4-mini,5,foo5,True,pass,113.13,7425,3,2
gpt-5.4-mini,6,foo6,False,no_syntax,1892.86,383097,55,
gpt-5.4-mini,7,foo7,True,pass,107.58,7752,3,2
gpt-5.4-mini,8,foo8,True,pass,246.04,26936,8,2
gpt-5.4-mini,9,foo9,True,pass,168.62,18382,6,2
gpt-5.4-mini,10,foo10,True,pass,280.11,46154,15,2
gpt-5.4-mini,11,foo11,True,pass,268.01,25180,12,
gpt-5.4-mini,12,foo12,True,pass,423.59,24265,12,
gpt-5.4-mini,13,foo13,True,pass,101.23,8876,4,3
gpt-5.4-mini,14,foo14,True,pass,61.46,7081,3,2
gpt-5.4-mini,15,foo15,False,no_valid,1089.34,72699,24,
gpt-5.4-mini,16,foo16,True,pass,71.62,7934,3,2
gpt-5.4-mini,17,foo17,True,pass,289.54,47695,16,3
gpt-5.4-mini,18,foo18,True,pass,1645.46,147279,24,4
gpt-5.4-mini,19,foo19,True,pass,307.31,48882,15,2
gpt-5.4-mini,20,foo20,False,no_syntax,812.3,142172,32,
gpt-5.4-mini,21,foo21,False,no_syntax,870.45,184091,35,2
gpt-5.4-mini,22,foo22,True,pass,85.61,7163,3,2
gpt-5.4-mini,23,foo23,False,no_valid,570.64,90916,24,
gpt-5.4-mini,24,foo24,True,pass,140.38,28900,10,
gpt-5.4-mini,25,foo25,True,pass,170.01,8749,8,
gpt-5.4-mini,26,foo26,True,pass,196.81,18186,10,
gpt-5.4-mini,27,foo27,True,pass,253.22,26823,10,
gpt-5.4-mini,28,foo28,True,pass,133.16,13915,6,2
gpt-5.4-mini,29,foo29,False,no_valid,546.11,94095,24,
gpt-5.4-mini,30,foo30,False,no_syntax,105.24,7184,3,
gpt-5.4-mini,31,foo31,True,pass,26.67,4864,1,1
gpt-5.4-mini,32,foo32,True,pass,192.55,12917,9,
gpt-5.4-mini,33,foo33,True,pass,8.15,4863,1,1
gpt-5.4-mini,34,foo34,True,pass,103.11,8857,3,3
gpt-5.4-mini,35,foo35,True,pass,164.28,8956,4,4
gpt-5.4-mini,36,foo36,False,no_valid,444.26,78518,13,1
gpt-5.4-mini,37,foo37,True,pass,48.72,9304,2,1
gpt-5.4-mini,38,foo38,True,pass,147.47,7503,3,
gpt-5.4-mini,39,foo39,True,pass,109.31,11493,3,
gpt-5.4-mini,40,foo40,True,pass,50.07,2151,1,
gpt-5.4-mini,41,foo41,True,pass,105.63,8395,3,
gpt-5.4-mini,42,foo42,True,pass,101.67,7310,3,
gpt-5.4-mini,43,foo43,True,pass,57.07,2571,1,
gpt-5.4-mini,44,foo44,True,pass,133.72,11361,4,
gpt-5.4-mini,45,foo45,True,pass,63.71,3879,2,
gpt-5.4-mini,46,foo46,True,pass,50.11,2305,1,
gpt-5.4-mini,47,foo47,True,pass,109.8,4395,2,
gpt-5.4-mini,48,foo48,True,pass,39.75,1949,1,
gpt-5.4-mini,49,foo49,True,pass,78.13,3282,2,
gpt-5.4-mini,50,foo50,False,no_syntax,151.89,14401,7,
gpt-5.4-mini,51,foo51,True,pass,70.3,3495,1,
gpt-5.4-mini,52,foo52,False,no_syntax,106.87,13466,7,
gpt-5.4-mini,53,foo53,True,pass,27.13,1448,1,
gpt-5.4-mini,54,foo54,True,pass,49.93,1363,1,
gpt-5.4-mini,55,foo55,False,no_syntax,164.0,13303,7,
gpt-5.4-mini,56,foo56,False,no_syntax,125.01,13144,7,
gpt-5.4-mini,57,foo57,True,pass,151.2,9700,4,
gpt-5.4-mini,58,foo58,False,no_syntax,169.76,21732,8,
gpt-5.4-mini,59,foo59,False,no_syntax,167.42,13753,7,
gpt-5.4-mini,60,foo60,True,pass,68.96,3166,2,
gpt-5.4-mini,61,foo61,False,no_syntax,148.24,11257,7,
gpt-5.4-mini,62,foo62,True,pass,193.8,13754,7,
gpt-5.4-mini,63,foo63,False,no_syntax,145.3,13778,7,
gpt-5.4-mini,64,foo64,False,no_syntax,225.08,17512,7,
gpt-5.4-mini,65,foo65,True,pass,225.06,15321,6,
gpt-5.4-mini,66,foo66,True,pass,38.68,2064,1,
gpt-5.4-mini,67,foo67,False,no_syntax,115.04,12815,7,
gpt-5.4-mini,68,foo68,False,no_syntax,130.33,13269,7,
gpt-5.4-mini,69,foo69,False,no_syntax,115.9,13061,7,
gpt-5.4-mini,70,foo70,False,no_syntax,166.85,14380,7,
gpt-5.4-mini,71,foo71,True,pass,24.5,1763,1,
gpt-5.4-mini,72,foo72,True,pass,62.44,2411,1,
gpt-5.4-mini,73,foo73,True,pass,68.5,2662,1,
gpt-5.4-mini,74,foo74,False,no_syntax,162.64,18802,7,
gpt-5.4-mini,75,foo75,False,no_syntax,164.02,22061,7,
gpt-5.4-mini,76,foo76,False,no_syntax,104.46,11173,7,
gpt-5.4-mini,77,foo77,False,no_syntax,124.23,10844,7,
gpt-5.4-mini,78,foo78,True,pass,61.49,1398,1,
gpt-5.4-mini,79,foo79,False,no_syntax,150.85,10384,7,
gpt-5.4-mini,80,foo80,True,pass,144.37,11073,5,
gpt-5.4-mini,81,foo81,True,pass,147.87,12967,5,
gpt-5.4-mini,82,foo82,False,no_syntax,203.51,15263,7,
gpt-5.4-mini,83,foo83,True,pass,95.27,4882,2,
gpt-5.4-mini,84,foo84,True,pass,125.87,10805,4,
gpt-5.4-mini,85,foo85,True,pass,60.67,2279,1,
gpt-5.4-mini,86,foo86,True,pass,80.11,1410,1,
gpt-5.4-mini,87,foo87,True,pass,26.0,1500,1,
gpt-5.4-mini,88,foo88,False,no_syntax,146.02,12116,7,
gpt-5.4-mini,89,foo89,True,pass,30.94,1390,1,
gpt-5.4-mini,90,foo90,False,no_syntax,149.05,14757,7,
gpt-5.4-mini,91,foo91,True,pass,519.21,32035,12,3
gpt-5.4-mini,92,foo92,True,pass,36.58,5240,1,1
gpt-5.4-mini,93,foo93,True,pass,125.32,10283,5,5
gpt-5.4-mini,94,foo94,True,pass,232.85,13588,11,
gpt-5.4-mini,95,foo95,True,pass,476.65,66542,15,
gpt-5.4-mini,96,foo96,True,pass,181.79,32457,6,6
gpt-5.4-mini,97,foo97,True,pass,175.01,12004,3,3
gpt-5.4-mini,98,foo98,True,pass,187.52,15736,4,4
gpt-5.4-mini,99,foo99,True,pass,106.74,7359,2,2
gpt-5.4-mini,100,foo100,True,pass,137.92,7798,3,3
gpt-5.4-mini,101,foo101,True,pass,422.92,40798,15,6
gpt-5.4-mini,102,foo102,True,pass,590.72,37852,13,5
gpt-5.4-mini,103,foo103,True,pass,177.84,14897,11,
gpt-5.4-mini,104,foo104,False,no_syntax,1214.44,196995,33,
gpt-5.4-mini,105,foo105,True,pass,557.49,47055,12,4
gpt-5.4-mini,106,foo106,True,pass,292.23,29140,12,3
gpt-5.4-mini,107,foo107,True,pass,65.96,8218,3,1
gpt-5.4-mini,108,foo108,True,pass,20.85,5912,2,2
gpt-5.4-mini,109,foo109,True,pass,14.85,5011,1,1
gpt-5.4-mini,110,foo110,True,pass,176.65,22405,8,1
gpt-5.4-mini,111,foo111,True,pass,560.18,70575,15,
gpt-5.4-mini,112,foo112,True,pass,1275.49,166809,32,
gpt-5.4-mini,113,foo113,True,pass,594.55,61197,13,
gpt-5.4-mini,114,foo114,False,no_valid,518.21,104205,24,
gpt-5.4-mini,115,foo115,True,pass,21.31,4980,1,1
gpt-5.4-mini,116,foo116,True,pass,41.4,5123,1,1
gpt-5.4-mini,117,foo117,True,pass,36.46,4881,1,1
gpt-5.4-mini,118,foo118,True,pass,86.21,5919,2,2
gpt-5.4-mini,119,foo119,True,pass,666.43,18136,7,4
gpt-5.4-mini,120,foo120,False,no_syntax,767.0,168320,32,
gpt-5.4-mini,121,foo121,True,pass,133.04,9527,4,2
gpt-5.4-mini,122,foo122,False,no_syntax,735.29,131066,32,
gpt-5.4-mini,123,foo123,False,no_syntax,731.41,135629,32,
gpt-5.4-mini,124,foo124,False,no_syntax,727.97,134552,27,
gpt-5.4-mini,125,foo125,False,no_syntax,702.47,152582,32,
gpt-5.4-mini,126,foo126,False,no_syntax,743.27,201361,32,
gpt-5.4-mini,127,foo127,True,pass,358.14,52684,15,8
gpt-5.4-mini,128,foo128,True,pass,172.58,27701,11,
gpt-5.4-mini,129,foo129,True,pass,214.37,22887,11,
gpt-5.4-mini,130,foo130,True,pass,235.3,16852,6,4
gpt-5.4-mini,131,foo131,False,no_syntax,792.79,121339,32,
gpt-5.4-mini,132,foo132,True,pass,298.58,26842,13,4
gpt-5.4-mini,133,foo133,True,pass,81.24,6947,3,2
gpt-5.4-mini,134,foo134,False,no_syntax,687.56,139722,30,
gpt-5.4-mini,135,foo135,True,pass,280.03,17554,6,6
gpt-5.4-mini,136,foo136,True,pass,630.55,60313,16,9
gpt-5.4-mini,137,foo137,True,pass,38.61,4732,1,1
gpt-5.4-mini,138,foo138,True,pass,37.37,5091,1,1
gpt-5.4-mini,139,foo139,True,pass,35.29,5050,1,1
gpt-5.4-mini,140,foo140,True,pass,64.18,5361,2,2
gpt-5.4-mini,141,foo141,True,pass,47.49,5959,3,3
gpt-5.4-mini,142,foo142,True,pass,39.1,4759,1,1
gpt-5.4-mini,143,foo143,True,pass,100.78,7498,3,3
gpt-5.4-mini,144,foo144,True,pass,175.66,12396,4,4
gpt-5.4-mini,145,foo145,True,pass,24.07,5056,1,1
gpt-5.4-mini,146,foo146,True,pass,262.66,17000,9,2
gpt-5.4-mini,147,foo147,True,pass,232.73,15827,5,3
gpt-5.4-mini,148,foo148,True,pass,250.63,27366,12,
gpt-5.4-mini,149,foo149,True,pass,230.21,17726,9,2
gpt-5.4-mini,150,foo150,True,pass,1224.18,137421,26,8
gpt-5.4-mini,151,foo151,True,pass,1608.72,165505,34,4
gpt-5.4-mini,152,foo152,True,pass,971.4,154858,25,7
gpt-5.4-mini,153,foo153,False,no_syntax,3178.28,218648,44,
gpt-5.4-mini,154,foo154,False,no_syntax,913.38,316368,43,
gpt-5.4-mini,155,foo155,False,no_syntax,1074.5,332655,45,
gpt-5.4-mini,156,foo156,False,no_valid,1977.82,243403,36,
gpt-5.4-mini,157,foo157,False,no_valid,1638.72,223714,37,
gpt-5.4-mini,158,foo158,True,pass,781.02,89000,16,4
gpt-5.4-mini,159,foo159,True,pass,438.71,58040,19,3
gpt-5.4-mini,160,foo160,True,pass,390.41,58994,19,3
gpt-5.4-mini,161,foo161,True,pass,426.86,58590,19,3
gpt-5.4-mini,162,foo162,False,no_syntax,534.92,182425,38,
gpt-5.4-mini,163,foo163,True,pass,359.07,54102,16,6
gpt-5.4-mini,164,foo164,False,no_syntax,749.0,205053,32,
gpt-5.4-mini,165,foo165,False,no_syntax,620.78,171802,32,
gpt-5.4-mini,166,foo166,False,no_syntax,540.05,169455,32,
gpt-5.4-mini,167,foo167,False,no_syntax,466.65,147152,31,
gpt-5.4-mini,168,foo168,True,pass,213.14,24590,9,1
gpt-5.4-mini,169,foo169,False,no_syntax,333.25,117732,27,
gpt-5.4-mini,170,foo170,True,pass,258.88,20734,8,2
gpt-5.4-mini,171,foo171,False,no_syntax,553.59,154451,32,
gpt-5.4-mini,172,foo172,False,no_syntax,418.69,134846,32,
gpt-5.4-mini,173,foo173,False,no_syntax,423.33,141868,32,
gpt-5.4-mini,174,foo174,True,pass,251.19,27754,11,1
gpt-5.4-mini,175,foo175,True,pass,777.53,89607,20,
gpt-5.4-mini,176,foo176,True,pass,628.77,85382,16,
gpt-5.4-mini,177,foo177,False,no_syntax,802.57,148724,32,
gpt-5.4-mini,178,foo178,True,pass,409.8,52788,11,8
gpt-5.4-mini,179,foo179,True,pass,138.18,13495,5,3
gpt-5.4-mini,180,foo180,True,pass,241.92,27549,11,2
gpt-5.4-mini,181,foo181,True,pass,85.42,10489,4,1
gpt-5.4-mini,182,foo182,True,pass,674.12,73218,15,6
gpt-5.4-mini,183,foo183,True,pass,227.37,22149,5,3
gpt-5.4-mini,184,foo184,True,pass,493.94,52019,15,5
gpt-5.4-mini,185,foo185,True,pass,1102.41,114247,20,
gpt-5.4-mini,186,foo186,False,no_syntax,549.46,146662,32,
gpt-5.4-mini,187,foo187,False,no_syntax,624.16,142059,32,
gpt-5.4-mini,188,foo188,False,no_syntax,313.2,74279,30,
gpt-5.4-mini,189,foo189,False,no_syntax,412.05,121062,32,
gpt-5.4-mini,190,foo190,True,pass,743.09,145484,21,
gpt-5.4-mini,191,foo191,True,pass,1393.85,131015,18,3
gpt-5.4-mini,192,foo192,False,no_syntax,840.51,167091,27,
gpt-5.4-mini,193,foo193,False,no_syntax,492.3,139919,27,
gpt-5.4-mini,194,foo194,False,no_syntax,399.12,138511,32,
gpt-5.4-mini,195,foo195,False,no_syntax,352.98,134413,32,
gpt-5.4-mini,196,foo196,False,no_syntax,346.27,139603,32,
gpt-5.4-mini,197,foo197,False,no_syntax,449.03,153128,32,
gpt-5.4-mini,198,foo198,False,no_syntax,492.57,157229,32,
gpt-5.4-mini,199,foo199,False,no_syntax,443.14,148310,32,
gpt-5.4-mini,200,foo200,False,no_syntax,439.34,136002,32,
gpt-5.4-mini,201,foo201,False,no_syntax,440.35,149423,32,
gpt-5.4-mini,202,foo202,False,no_syntax,394.12,111186,32,
gpt-5.4-mini,203,foo203,False,no_syntax,413.21,111392,32,
gpt-5.4-mini,204,foo204,True,pass,115.52,9496,4,2
gpt-5.4-mini,205,foo205,False,no_syntax,362.65,122522,32,
gpt-5.4-mini,206,foo206,False,no_syntax,789.86,126892,32,
gpt-5.4-mini,207,foo207,False,no_syntax,450.92,123804,32,
gpt-5.4-mini,208,foo208,True,pass,467.97,98035,13,
gpt-5.4-mini,209,foo209,False,no_syntax,536.96,133728,32,
gpt-5.4-mini,210,foo210,False,no_syntax,437.91,160015,32,
gpt-5.4-mini,211,foo211,True,pass,242.69,25569,10,2
gpt-5.4-mini,212,foo212,True,pass,149.03,11434,4,2
gpt-5.4-mini,213,foo213,False,no_syntax,473.66,154593,32,
gpt-5.4-mini,214,foo214,False,no_syntax,500.08,169913,32,
gpt-5.4-mini,215,foo215,False,no_syntax,401.11,134888,28,
gpt-5.4-mini,216,foo216,True,pass,351.68,28411,7,2
gpt-5.4-mini,217,foo217,True,pass,661.06,70069,13,
gpt-5.4-mini,218,foo218,True,pass,346.7,31837,11,6
gpt-5.4-mini,219,foo219,True,pass,556.03,55163,14,5
gpt-5.4-mini,220,foo220,False,no_syntax,391.43,138240,32,
gpt-5.4-mini,221,foo221,False,no_syntax,561.28,178032,32,
gpt-5.4-mini,222,foo222,True,pass,334.66,19088,7,3
gpt-5.4-mini,223,foo223,True,pass,216.7,36995,13,3
gpt-5.4-mini,224,foo224,False,no_syntax,519.64,141252,32,
gpt-5.4-mini,225,foo225,False,no_syntax,497.11,154338,32,
gpt-5.4-mini,226,foo226,True,pass,1002.8,96388,20,
gpt-5.4-mini,227,foo227,True,pass,338.63,28132,10,5
gpt-5.4-mini,228,foo228,True,pass,521.45,73780,19,9
gpt-5.4-mini,229,foo229,True,pass,343.62,21121,8,4
gpt-5.4-mini,230,foo230,False,no_syntax,469.45,130137,32,
gpt-5.4-mini,231,foo231,False,no_syntax,721.35,139810,32,
gpt-5.4-mini,232,foo232,False,no_syntax,444.16,133207,32,
gpt-5.4-mini,233,foo233,True,pass,538.49,92114,16,3
gpt-5.4-mini,234,foo234,True,pass,355.04,59553,12,10
gpt-5.4-mini,235,foo235,False,no_syntax,395.26,127234,32,
gpt-5.4-mini,236,foo236,True,pass,566.7,98515,19,
gpt-5.4-mini,237,foo237,True,pass,515.36,52747,15,7
gpt-5.4-mini,238,foo238,False,no_syntax,425.5,133106,32,
gpt-5.4-mini,239,foo239,True,pass,267.22,28906,11,3
gpt-5.4-mini,240,foo240,False,no_syntax,350.64,124722,32,
gpt-5.4-mini,241,foo241,True,pass,293.58,28018,9,3
gpt-5.4-mini,242,foo242,True,pass,232.29,20304,7,5
gpt-5.4-mini,243,foo243,False,no_syntax,1011.32,186623,32,
gpt-5.4-mini,244,foo244,True,pass,939.36,119905,21,
gpt-5.4-mini,245,foo245,False,no_syntax,294.72,131464,32,
gpt-5.4-mini,246,foo246,True,pass,178.2,36086,12,3
gpt-5.4-mini,247,foo247,False,no_syntax,433.11,133682,32,
gpt-5.4-mini,248,foo248,False,no_syntax,338.84,140561,32,
gpt-5.4-mini,249,foo249,True,pass,476.21,91892,20,
gpt-5.4-mini,250,foo250,True,pass,529.84,86479,19,
gpt-5.4-mini,251,foo251,True,pass,137.44,19914,7,2
gpt-5.4-mini,252,foo252,True,pass,183.44,22540,8,4
gpt-5.4-mini,253,foo253,False,no_syntax,334.64,145936,32,
gpt-5.4-mini,254,foo254,False,no_syntax,318.32,133025,32,
gpt-5.4-mini,255,foo255,True,pass,250.49,21956,8,3
gpt-5.4-mini,256,foo256,True,pass,176.75,17032,7,2
gpt-5.4-mini,257,foo257,True,pass,136.58,15830,6,2
gpt-5.4-mini,258,foo258,False,no_syntax,383.28,136910,32,
gpt-5.4-mini,259,foo259,False,no_syntax,361.66,120189,28,
gpt-5.4-mini,260,foo260,False,no_syntax,345.48,116779,27,
gpt-5.4-mini,261,foo261,True,pass,417.75,78616,19,
gpt-5.4-mini,262,foo262,True,pass,631.77,84865,18,9
gpt-5.4-mini,263,foo263,True,pass,414.98,68182,13,
gpt-5.4-mini,264,foo264,False,no_syntax,297.07,131761,32,
gpt-5.4-mini,265,foo265,True,pass,437.74,73403,15,
gpt-5.4-mini,266,foo266,True,pass,289.75,37364,15,6
gpt-5.4-mini,267,foo267,True,pass,570.37,81732,15,
gpt-5.4-mini,268,foo268,True,pass,708.86,90061,15,
gpt-5.4-mini,269,foo269,True,pass,865.94,96237,19,
gpt-5.4-mini,270,foo270,True,pass,678.94,77671,13,
gpt-5.4-mini,271,foo271,False,no_syntax,482.23,151118,32,
gpt-5.4-mini,272,foo272,False,no_syntax,376.79,129457,27,
gpt-5.4-mini,273,foo273,False,no_syntax,404.1,141411,32,
gpt-5.4-mini,274,foo274,True,pass,202.03,55190,19,
gpt-5.4-mini,275,foo275,False,no_syntax,343.8,116817,32,
gpt-5.4-mini,276,foo276,True,pass,367.83,35388,12,4
gpt-5.4-mini,277,foo277,True,pass,493.9,65764,10,8
gpt-5.4-mini,278,foo278,True,pass,367.87,43874,16,8
gpt-5.4-mini,279,foo279,True,pass,225.23,18700,6,3
gpt-5.4-mini,280,foo280,True,pass,461.28,83600,14,
gpt-5.4-mini,281,foo281,True,pass,476.24,56024,13,7
gpt-5.4-mini,282,foo282,False,no_syntax,396.25,140127,32,
gpt-5.4-mini,283,foo283,True,pass,310.01,38787,10,8
gpt-5.4-mini,284,foo284,True,pass,323.7,32728,11,6
gpt-5.4-mini,285,foo285,True,pass,534.02,70118,21,
gpt-5.4-mini,286,foo286,False,no_syntax,315.36,128147,32,
gpt-5.4-mini,287,foo287,True,pass,150.59,15054,6,3
gpt-5.4-mini,288,foo288,False,no_syntax,308.65,126109,32,
gpt-5.4-mini,289,foo289,False,no_syntax,266.0,142176,32,
gpt-5.4-mini,290,foo290,True,pass,149.71,26278,10,2
gpt-5.4-mini,291,foo291,False,no_syntax,281.62,129137,32,
gpt-5.4-mini,292,foo292,False,no_syntax,212.98,87036,30,
gpt-5.4-mini,293,foo293,True,pass,643.45,59085,13,6
gpt-5.4-mini,294,foo294,True,pass,119.91,13784,5,3
gpt-5.4-mini,295,foo295,False,no_syntax,460.63,145073,32,
gpt-5.4-mini,296,foo296,True,pass,427.07,47259,15,6
gpt-5.4-mini,297,foo297,False,no_syntax,328.93,124059,32,
gpt-5.4-mini,298,foo298,True,pass,104.21,11835,4,2
gpt-5.4-mini,299,foo299,True,pass,63.19,10197,4,2
gpt-5.4-mini,300,foo300,True,pass,259.24,30911,10,6
gpt-5.4-mini,301,foo301,True,pass,95.05,28975,11,2
gpt-5.4-mini,302,foo302,False,no_syntax,333.02,128628,32,
gpt-5.4-mini,303,foo303,True,pass,344.31,40106,14,5
gpt-5.4-mini,304,foo304,True,pass,217.79,27277,8,2
gpt-5.4-mini,305,foo305,True,pass,103.71,11770,5,3
gpt-5.4-mini,306,foo306,False,no_syntax,330.32,142818,32,
gpt-5.4-mini,307,foo307,False,no_syntax,328.55,136663,32,
gpt-5.4-mini,308,foo308,False,no_syntax,286.58,128545,32,
gpt-5.4-mini,309,foo309,True,pass,542.29,83065,15,
gpt-5.4-mini,310,foo310,True,pass,329.59,38580,13,6
gpt-5.4-mini,311,foo311,False,no_syntax,339.86,128618,30,
gpt-5.4-mini,312,foo312,True,pass,815.34,150658,23,9
gpt-5.4-mini,313,foo313,True,pass,342.45,52670,13,5
gpt-5.4-mini,314,foo314,False,no_syntax,317.35,132587,30,
gpt-5.4-mini,315,foo315,True,pass,569.73,86646,13,9
gpt-5.4-mini,316,foo316,True,pass,175.61,12338,4,3
gpt-5.4-mini,317,foo317,True,pass,325.01,36046,13,6
gpt-5.4-mini,318,foo318,True,pass,156.65,15506,5,4
gpt-5.4-mini,319,foo319,True,pass,175.78,43199,12,
gpt-5.4-mini,320,foo320,False,no_syntax,287.23,127590,29,
gpt-5.4-mini,321,foo321,True,pass,612.25,91788,17,4
gpt-5.4-mini,322,foo322,True,pass,158.45,19482,6,4
gpt-5.4-mini,323,foo323,True,pass,252.36,28152,11,4
gpt-5.4-mini,324,foo324,True,pass,241.94,55917,18,4
gpt-5.4-mini,325,foo325,True,pass,355.92,50514,12,10
gpt-5.4-mini,326,foo326,True,pass,293.85,55693,18,4
gpt-5.4-mini,327,foo327,False,no_syntax,367.52,126468,30,
gpt-5.4-mini,328,foo328,True,pass,291.08,41993,13,5
gpt-5.4-mini,329,foo329,True,pass,294.12,41689,13,4
gpt-5.4-mini,330,foo330,True,pass,554.31,65313,15,
gpt-5.4-mini,331,foo331,True,pass,644.06,84752,15,
gpt-5.4-mini,332,foo332,True,pass,295.56,31488,11,4
gpt-5.4-mini,333,foo333,True,pass,701.33,149208,24,
gpt-5.4-mini,334,foo334,True,pass,666.26,81911,17,
gpt-5.4-mini,335,foo335,True,pass,551.85,77147,18,
gpt-5.4-mini,336,foo336,True,pass,696.93,70658,11,9
gpt-5.4-mini,337,foo337,True,pass,283.17,38195,11,4
gpt-5.4-mini,338,foo338,False,no_syntax,468.11,141853,30,
gpt-5.4-mini,339,foo339,True,pass,87.0,19175,8,1
gpt-5.4-mini,340,foo340,True,pass,164.37,25586,10,4
gpt-5.4-mini,341,foo341,True,pass,160.02,31307,13,6
gpt-5.4-mini,342,foo342,True,pass,457.17,72326,13,
gpt-5.4-mini,343,foo343,True,pass,508.51,69992,13,
gpt-5.4-mini,344,foo344,True,pass,507.61,72764,14,
gpt-5.4-mini,345,foo345,True,pass,223.83,41609,15,8
gpt-5.4-mini,346,foo346,True,pass,972.15,70956,17,8
gpt-5.4-mini,347,foo347,True,pass,199.93,27847,10,5
gpt-5.4-mini,348,foo348,True,pass,375.44,43903,11,8
gpt-5.4-mini,349,foo349,True,pass,260.49,28875,12,5
gpt-5.4-mini,350,foo350,True,pass,407.64,52226,18,
gpt-5.4-mini,351,foo351,True,pass,373.34,55386,13,
gpt-5.4-mini,352,foo352,True,pass,351.32,42424,13,6
gpt-5.4-mini,353,foo353,True,pass,563.2,58235,14,7
gpt-5.4-mini,354,foo354,True,pass,249.24,23698,7,5
gpt-5.4-mini,355,foo355,True,pass,582.42,20283,7,5
gpt-5.4-mini,356,foo356,True,pass,290.91,28369,11,4
gpt-5.4-mini,357,foo357,False,no_syntax,281.45,74662,29,
gpt-5.4-mini,358,foo358,True,pass,254.98,21914,6,4
gpt-5.4-mini,359,foo359,True,pass,664.17,86214,21,6
gpt-5.4-mini,360,foo360,True,pass,104.0,11765,4,2
gpt-5.4-mini,361,foo361,True,pass,46.79,7686,2,1
gpt-5.4-mini,362,foo362,True,pass,252.39,37749,13,6
gpt-5.4-mini,363,foo363,True,pass,147.23,21805,9,2
gpt-5.4-mini,364,foo364,True,pass,15.12,5722,1,1
gpt-5.4-mini,365,foo365,True,pass,59.16,8182,2,1
gpt-5.4-mini,366,foo366,True,pass,174.54,22524,9,2
gpt-5.4-mini,367,foo367,True,pass,83.39,10166,4,2
gpt-5.4-mini,368,foo368,True,pass,448.61,98420,21,8
gpt-5.4-mini,369,foo369,True,pass,151.88,20969,10,3
gpt-5.4-mini,370,foo370,True,pass,154.59,18726,8,3
gpt-5.4-mini,371,foo371,True,pass,835.24,72366,12,
gpt-5.4-mini,372,foo372,True,pass,234.81,38878,13,5
gpt-5.4-mini,373,foo373,True,pass,228.73,19433,7,6
gpt-5.4-mini,374,foo374,True,pass,266.96,28716,9,8
gpt-5.4-mini,375,foo375,True,pass,222.22,22421,9,2
gpt-5.4-mini,376,foo376,True,pass,392.31,44206,13,
gpt-5.4-mini,377,foo377,True,pass,227.88,39771,14,
gpt-5.4-mini,378,foo378,True,pass,618.27,109643,29,
gpt-5.4-mini,379,foo379,True,pass,245.86,22913,8,6
gpt-5.4-mini,380,foo380,True,pass,298.59,48436,14,6
gpt-5.4-mini,381,foo381,True,pass,236.36,29375,10,5
gpt-5.4-mini,382,foo382,True,pass,250.59,25882,8,5
gpt-5.4-mini,383,foo383,True,pass,152.47,19977,10,3
gpt-5.4-mini,384,foo384,True,pass,238.52,57061,18,
gpt-5.4-mini,385,foo385,True,pass,100.07,9800,4,2
gpt-5.4-mini,386,foo386,True,pass,125.72,17324,6,5
gpt-5.4-mini,387,foo387,True,pass,439.09,63982,12,
gpt-5.4-mini,388,foo388,True,pass,365.23,57695,12,
gpt-5.4-mini,389,foo389,True,pass,522.83,86023,12,
gpt-5.4-mini,390,foo390,True,pass,241.89,56050,18,
gpt-5.4-mini,391,foo391,True,pass,265.12,19147,7,5
gpt-5.4-mini,392,foo392,True,pass,116.69,10681,4,3
gpt-5.4-mini,393,foo393,True,pass,194.01,23030,11,4
gpt-5.4-mini,394,foo394,True,pass,299.68,27660,11,4
gpt-5.4-mini,395,foo395,True,pass,206.62,24037,8,7
gpt-5.4-mini,396,foo396,True,pass,314.01,47958,16,9
gpt-5.4-mini,397,foo397,True,pass,169.71,14968,6,4
gpt-5.4-mini,398,foo398,True,pass,415.88,56216,18,
gpt-5.4-mini,399,foo399,True,pass,351.73,41429,16,9
